Year	Month	WTIO	SETIO	DMI
1991	1	0.18	0.12	0.07
1991	2	0.05	-0.04	0.09
1991	3	-0.04	0.02	-0.06
1991	4	0.31	-0.45	0.76
1991	5	0.28	-0.62	0.90
1991	6	-0.09	-0.58	0.49
1991	7	-0.13	-0.45	0.32
1991	8	-0.30	-0.22	-0.09
1991	9	-0.08	-0.34	0.26
1991	10	-0.06	-0.23	0.18
1991	11	-0.19	-0.47	0.28
1991	12	-0.31	-0.60	0.30
1992	1	-0.33	0.10	-0.43
1992	2	-0.39	0.30	-0.69
1992	3	-0.38	0.23	-0.61
1992	4	-0.38	-0.10	-0.29
1992	5	-0.15	0.23	-0.38
1992	6	-0.30	0.55	-0.85
1992	7	-0.10	0.45	-0.56
1992	8	-0.69	0.33	-1.02
1992	9	-0.50	0.22	-0.72
1992	10	-0.33	0.28	-0.61
1992	11	-0.18	-0.03	-0.15
1992	12	-0.50	-0.21	-0.29
1993	1	-0.38	-0.37	-0.02
1993	2	-0.37	-0.31	-0.07
1993	3	-0.44	-0.05	-0.40
1993	4	-0.42	-0.24	-0.18
1993	5	-0.02	-0.25	0.22
1993	6	-0.08	-0.28	0.19
1993	7	-0.15	-0.62	0.47
1993	8	-0.47	-0.33	-0.15
1993	9	-0.51	-0.13	-0.38
1993	10	-0.49	-0.18	-0.31
1993	11	-0.26	-0.04	-0.22
1993	12	-0.39	-0.21	-0.19
1994	1	-0.11	-0.30	0.20
1994	2	-0.27	-0.22	-0.05
1994	3	-0.56	-0.33	-0.23
1994	4	-0.19	-0.47	0.28
1994	5	-0.02	-0.76	0.74
1994	6	-0.35	-0.78	0.43
1994	7	-0.22	-0.94	0.72
1994	8	-0.28	-1.41	1.13
1994	9	-0.46	-1.43	0.97
1994	10	0.13	-1.30	1.43
1994	11	-0.26	-0.45	0.19
1994	12	-0.19	-0.22	0.03
1995	1	-0.20	-0.19	-0.01
1995	2	0.10	-0.43	0.53
1995	3	-0.19	-0.49	0.30
1995	4	-0.14	-0.45	0.31
1995	5	-0.31	-0.29	-0.02
1995	6	-0.22	-0.15	-0.07
1995	7	-0.25	0.32	-0.57
1995	8	-0.51	0.08	-0.59
1995	9	-0.27	0.01	-0.29
1995	10	-0.16	0.27	-0.44
1995	11	-0.55	0.16	-0.71
1995	12	-0.42	-0.43	0.02
1996	1	-0.04	-0.40	0.36
1996	2	-0.01	-0.21	0.20
1996	3	-0.23	0.02	-0.24
1996	4	-0.64	0.24	-0.88
1996	5	-0.49	-0.02	-0.46
1996	6	-0.61	0.14	-0.75
1996	7	-0.59	-0.03	-0.56
1996	8	-0.71	0.25	-0.96
1996	9	-0.58	0.24	-0.82
1996	10	-0.87	0.22	-1.09
1996	11	-0.57	0.17	-0.75
1996	12	-0.37	-0.07	-0.30
1997	1	-0.38	-0.37	-0.01
1997	2	-0.58	-0.90	0.32
1997	3	-0.24	-0.33	0.10
1997	4	-0.18	-0.26	0.08
1997	5	-0.35	-0.31	-0.04
1997	6	0.09	-0.05	0.14
1997	7	-0.05	-0.59	0.54
1997	8	-0.00	-0.35	0.35
1997	9	0.06	-0.68	0.74
1997	10	0.11	-0.89	0.99
1997	11	0.48	-1.07	1.55
1997	12	0.58	-0.49	1.07
1998	1	0.84	0.07	0.77
1998	2	0.84	0.71	0.13
1998	3	0.61	0.77	-0.16
1998	4	0.59	0.52	0.07
1998	5	0.57	0.59	-0.02
1998	6	0.30	0.49	-0.19
1998	7	-0.01	0.83	-0.84
1998	8	-0.06	0.69	-0.75
1998	9	-0.15	0.42	-0.58
1998	10	-0.07	0.69	-0.77
1998	11	-0.52	0.35	-0.87
1998	12	-0.46	-0.02	-0.43
1999	1	-0.60	-0.14	-0.46
1999	2	-0.31	-0.18	-0.13
1999	3	-0.08	-0.20	0.12
1999	4	-0.46	-0.30	-0.16
1999	5	-0.57	-0.31	-0.27
1999	6	-0.31	-0.29	-0.03
1999	7	-0.14	-0.37	0.23
1999	8	-0.24	-0.46	0.21
1999	9	-0.18	-0.27	0.10
1999	10	-0.64	-0.12	-0.51
1999	11	-0.39	-0.21	-0.18
1999	12	-0.27	-0.24	-0.02
2000	1	-0.15	-0.13	-0.01
2000	2	-0.13	-0.65	0.52
2000	3	-0.14	-0.90	0.76
2000	4	-0.35	-0.53	0.18
2000	5	-0.22	-0.56	0.33
2000	6	-0.50	-0.53	0.03
2000	7	-0.15	-0.28	0.13
2000	8	-0.04	0.06	-0.10
2000	9	0.10	0.12	-0.02
2000	10	-0.15	0.07	-0.21
2000	11	-0.06	-0.06	0.00
2000	12	-0.18	-0.32	0.14
2001	1	-0.41	-0.54	0.13
2001	2	-0.27	-0.70	0.43
2001	3	0.01	-0.40	0.40
2001	4	-0.09	-0.08	-0.02
2001	5	-0.05	0.32	-0.36
2001	6	-0.01	0.05	-0.05
2001	7	-0.29	0.45	-0.74
2001	8	-0.21	0.18	-0.39
2001	9	-0.28	0.33	-0.60
2001	10	-0.43	0.25	-0.69
2001	11	-0.24	-0.01	-0.23
2001	12	0.00	0.03	-0.03
2002	1	-0.12	0.21	-0.32
2002	2	0.03	-0.16	0.20
2002	3	-0.01	0.39	-0.40
2002	4	-0.13	0.28	-0.40
2002	5	-0.36	0.18	-0.54
2002	6	-0.16	0.05	-0.22
2002	7	-0.09	0.16	-0.25
2002	8	-0.22	0.17	-0.40
2002	9	0.39	-0.15	0.54
2002	10	0.09	-0.45	0.54
2002	11	-0.00	-0.24	0.23
2002	12	0.18	0.42	-0.24
2003	1	0.11	0.47	-0.35
2003	2	0.42	0.20	0.22
2003	3	0.27	-0.00	0.27
2003	4	0.31	0.22	0.09
2003	5	0.25	0.01	0.24
2003	6	0.21	-0.15	0.36
2003	7	0.06	-0.26	0.32
2003	8	-0.03	-0.43	0.40
2003	9	0.06	0.14	-0.08
2003	10	-0.15	0.05	-0.19
2003	11	-0.27	0.05	-0.32
2003	12	-0.19	-0.26	0.07
2004	1	0.13	0.15	-0.02
2004	2	0.11	0.06	0.04
2004	3	-0.09	-0.24	0.15
2004	4	-0.03	-0.03	0.00
2004	5	-0.72	-0.13	-0.59
2004	6	-0.59	-0.12	-0.47
