Date	ONI
1990-08	0.38
1990-09	0.39
1990-10	0.35
1990-11	0.40
1990-12	0.41
1991-01	0.41
1991-02	0.26
1991-03	0.22
1991-04	0.26
1991-05	0.45
1991-06	0.64
1991-07	0.73
1991-08	0.64
1991-09	0.62
1991-10	0.79
1991-11	1.21
1991-12	1.53
1992-01	1.71
1992-02	1.63
1992-03	1.48
1992-04	1.29
1992-05	1.06
1992-06	0.73
1992-07	0.37
1992-08	0.09
1992-09	-0.13
1992-10	-0.25
1992-11	-0.28
1992-12	-0.13
1993-01	0.09
1993-02	0.30
1993-03	0.50
1993-04	0.67
1993-05	0.70
1993-06	0.57
1993-07	0.32
1993-08	0.25
1993-09	0.15
1993-10	0.10
1993-11	0.04
1993-12	0.06
1994-01	0.06
1994-02	0.07
1994-03	0.17
1994-04	0.31
1994-05	0.42
1994-06	0.41
1994-07	0.44
1994-08	0.43
1994-09	0.55
1994-10	0.74
1994-11	1.01
1994-12	1.09
1995-01	0.96
1995-02	0.72
1995-03	0.53
1995-04	0.30
1995-05	0.14
1995-06	-0.03
1995-07	-0.24
1995-08	-0.54
1995-09	-0.81
1995-10	-0.97
1995-11	-1.00
1995-12	-0.98
1996-01	-0.90
1996-02	-0.75
1996-03	-0.59
1996-04	-0.39
1996-05	-0.31
1996-06	-0.30
1996-07	-0.27
1996-08	-0.32
1996-09	-0.35
1996-10	-0.40
1996-11	-0.45
1996-12	-0.49
1997-01	-0.50
1997-02	-0.36
1997-03	-0.10
1997-04	0.28
1997-05	0.75
1997-06	1.22
1997-07	1.60
1997-08	1.90
1997-09	2.14
1997-10	2.33
1997-11	2.40
1997-12	2.39
1998-01	2.24
1998-02	1.93
1998-03	1.44
1998-04	0.99
1998-05	0.45
1998-06	-0.13
1998-07	-0.78
1998-08	-1.12
1998-09	-1.31
1998-10	-1.35
1998-11	-1.48
1998-12	-1.57
1999-01	-1.55
1999-02	-1.30
1999-03	-1.07
1999-04	-0.98
1999-05	-1.02
1999-06	-1.04
1999-07	-1.10
1999-08	-1.11
1999-09	-1.16
1999-10	-1.26
1999-11	-1.46
1999-12	-1.65
2000-01	-1.66
2000-02	-1.41
2000-03	-1.07
2000-04	-0.81
2000-05	-0.71
2000-06	-0.64
2000-07	-0.55
2000-08	-0.51
2000-09	-0.55
2000-10	-0.63
2000-11	-0.75
2000-12	-0.74
2001-01	-0.68
2001-02	-0.52
2001-03	-0.44
2001-04	-0.34
2001-05	-0.25
2001-06	-0.12
2001-07	-0.08
2001-08	-0.13
2001-09	-0.19
2001-10	-0.29
2001-11	-0.35
2001-12	-0.31
2002-01	-0.15
2002-02	0.03
2002-03	0.09
2002-04	0.20
2002-05	0.43
2002-06	0.65
2002-07	0.79
2002-08	0.86
2002-09	1.01
2002-10	1.21
2002-11	1.31
2002-12	1.14
2003-01	0.92
2003-02	0.63
2003-03	0.38
2003-04	-0.04
2003-05	-0.26
2003-06	-0.16
2003-07	0.08
2003-08	0.21
2003-09	0.26
2003-10	0.29
2003-11	0.35
2003-12	0.35
2004-01	0.37
2004-02	0.31
2004-03	0.23
2004-04	0.17
2004-05	0.17
2004-06	0.28
2004-07	0.47
2004-08	0.64
2004-09	0.70
2004-10	0.67
2004-11	0.66
2004-12	0.69
2005-01	0.64
2005-02	0.58
2005-03	0.45
2005-04	0.43
2005-05	0.29
2005-06	0.11
2005-07	-0.06
2005-08	-0.14
2005-09	-0.11
2005-10	-0.29
2005-11	-0.57
2005-12	-0.84
2006-01	-0.85
2006-02	-0.77
2006-03	-0.57
2006-04	-0.37
2006-05	-0.14
2006-06	-0.03
2006-07	0.10
2006-08	0.30
2006-09	0.54
2006-10	0.77
2006-11	0.94
2006-12	0.94
2007-01	0.66
2007-02	0.22
2007-03	-0.12
2007-04	-0.32
2007-05	-0.38
2007-06	-0.47
2007-07	-0.56
2007-08	-0.81
2007-09	-1.07
2007-10	-1.34
2007-11	-1.50
2007-12	-1.60
2008-01	-1.64
2008-02	-1.52
2008-03	-1.29
2008-04	-1.01
2008-05	-0.84
2008-06	-0.61
2008-07	-0.37
2008-08	-0.23
2008-09	-0.24
2008-10	-0.35
2008-11	-0.55
2008-12	-0.73
2009-01	-0.85
2009-02	-0.79
2009-03	-0.61
2009-04	-0.33
2009-05	0.01
2009-06	0.28
2009-07	0.45
2009-08	0.58
2009-09	0.71
2009-10	1.01
2009-11	1.36
2009-12	1.56
2010-01	1.50
2010-02	1.22
2010-03	0.84
2010-04	0.35
2010-05	-0.17
2010-06	-0.66
2010-07	-1.05
2010-08	-1.35
2010-09	-1.56
2010-10	-1.64
2010-11	-1.64
2010-12	-1.59
2011-01	-1.42
2011-02	-1.19
2011-03	-0.93
2011-04	-0.73
2011-05	-0.55
2011-06	-0.44
2011-07	-0.48
2011-08	-0.62
2011-09	-0.83
2011-10	-1.01
2011-11	-1.09
2011-12	-1.04
2012-01	-0.86
2012-02	-0.72
2012-03	-0.59
2012-04	-0.47
2012-05	-0.26
2012-06	-0.01
2012-07	0.25
2012-08	0.37
2012-09	0.37
2012-10	0.27
2012-11	0.05
2012-12	-0.21
2013-01	-0.43
2013-02	-0.43
2013-03	-0.34
2013-04	-0.30
2013-05	-0.36
2013-06	-0.41
2013-07	-0.40
2013-08	-0.32
2013-09	-0.26
2013-10	-0.18
2013-11	-0.17
2013-12	-0.27
2014-01	-0.42
2014-02	-0.46
2014-03	-0.27
2014-04	0.04
2014-05	0.21
2014-06	0.16
2014-07	0.05
2014-08	0.07
2014-09	0.23
2014-10	0.49
2014-11	0.64
2014-12	0.66
2015-01	0.55
2015-02	0.47
2015-03	0.53
2015-04	0.70
2015-05	0.93
2015-06	1.18
2015-07	1.52
2015-08	1.86
2015-09	2.16
2015-10	2.42
2015-11	2.57
2015-12	2.64
2016-01	2.48
2016-02	2.14
2016-03	1.58
2016-04	0.94
2016-05	0.39
2016-06	-0.07
2016-07	-0.36
2016-08	-0.54
2016-09	-0.63
2016-10	-0.69
2016-11	-0.67
2016-12	-0.56
2017-01	-0.34
2017-02	-0.16
2017-03	0.05
2017-04	0.20
2017-05	0.30
2017-06	0.31
2017-07	0.14
2017-08	-0.11
2017-09	-0.38
2017-10	-0.65
2017-11	-0.84
2017-12	-0.97
2018-01	-0.92
2018-02	-0.85
2018-03	-0.70
2018-04	-0.50
2018-05	-0.22
2018-06	-0.01
2018-07	0.09
2018-08	0.23
2018-09	0.49
2018-10	0.76
2018-11	0.90
2018-12	0.81
2019-01	0.75
2019-02	0.72
2019-03	0.71
2019-04	0.66
2019-05	0.54
2019-06	0.45
2019-07	0.28
2019-08	0.14
2019-09	0.19
2019-10	0.35
2019-11	0.51
2019-12	0.55
2020-01	0.50
2020-02	0.48
2020-03	0.40
2020-04	0.19
2020-05	-0.08
2020-06	-0.30
2020-07	-0.41
2020-08	-0.57
2020-09	-0.89
2020-10	-1.17
2020-11	-1.27
2020-12	-1.19
2021-01	-1.05
2021-02	-0.93
2021-03	-0.84
2021-04	-0.66
2021-05	-0.48
2021-06	-0.38
2021-07	-0.40
2021-08	-0.49
2021-09	-0.67
2021-10	-0.81
2021-11	-0.98
2021-12	-0.98
2022-01	-0.97
2022-02	-0.93
2022-03	-0.99
2022-04	-1.06
2022-05	-0.99
2022-06	-0.85
2022-07	-0.81
2022-08	-0.91
2022-09	-1.01
2022-10	-0.99
2022-11	-0.92
2022-12	-0.83
2023-01	-0.68
2023-02	-0.43
2023-03	-0.15
2023-04	0.16
2023-05	0.48
2023-06	0.77
2023-07	1.07
2023-08	1.32
2023-09	1.56
2023-10	1.78
2023-11	1.92
2023-12	1.95
2024-01	1.79
2024-02	1.49
2024-03	1.14
2024-04	0.71
