Date,WTIO,SETIO,DMI,ONI,NINO3.4,ANOM,SOI
1991-01-01,0.18,0.12,0.06,0.41,26.89,0.33,0.6
1991-02-01,0.05,-0.04,0.09,0.26,26.87,0.14,0.3
1991-03-01,-0.04,0.02,-0.06,0.22,27.16,-0.08,-0.7
1991-04-01,0.31,-0.45,0.76,0.26,27.89,0.08,-0.6
1991-05-01,0.28,-0.62,0.9,0.45,28.13,0.25,-1.0
1991-06-01,-0.09,-0.58,0.49,0.64,28.1,0.39,-0.1
1991-07-01,-0.13,-0.45,0.32,0.73,27.77,0.47,0.0
1991-08-01,-0.3,-0.22,-0.0799999999999999,0.64,27.5,0.6,-0.4
1991-09-01,-0.08,-0.34,0.26,0.62,27.07,0.31,-1.5
1991-10-01,-0.06,-0.23,0.17,0.79,27.41,0.64,-1.0
1991-11-01,-0.19,-0.47,0.2799999999999999,1.21,27.71,0.89,-0.7
1991-12-01,-0.31,-0.6,0.29,1.53,28.14,1.5,-1.8
1992-01-01,-0.33,0.1,-0.43,1.71,28.23,1.67,-2.9
1992-02-01,-0.39,0.3,-0.69,1.63,28.28,1.55,-0.9
1992-03-01,-0.38,0.23,-0.61,1.48,28.39,1.16,-2.0
1992-04-01,-0.38,-0.1,-0.28,1.29,28.81,1.0,-1.0
1992-05-01,-0.15,0.23,-0.38,1.06,28.79,0.91,0.3
1992-06-01,-0.3,0.55,-0.8500000000000001,0.73,28.12,0.42,-0.6
1992-07-01,-0.1,0.45,-0.55,0.37,27.45,0.15,-0.6
1992-08-01,-0.69,0.33,-1.02,0.09,26.82,-0.08,0.4
1992-09-01,-0.5,0.22,-0.72,-0.13,26.6,-0.16,0.1
1992-10-01,-0.33,0.28,-0.6100000000000001,-0.25,26.27,-0.5,-1.4
1992-11-01,-0.18,-0.03,-0.15,-0.28,26.64,-0.18,-0.7
1992-12-01,-0.5,-0.21,-0.29,-0.13,26.78,0.14,-0.6
1993-01-01,-0.38,-0.37,-0.01,0.09,26.73,0.16,-0.9
1993-02-01,-0.37,-0.31,-0.06,0.3,27.07,0.34,-0.7
1993-03-01,-0.44,-0.05,-0.39,0.5,27.46,0.23,-0.5
1993-04-01,-0.42,-0.24,-0.18,0.67,28.13,0.32,-1.2
1993-05-01,-0.02,-0.25,0.23,0.7,28.53,0.65,-0.3
1993-06-01,-0.08,-0.28,0.2,0.57,27.86,0.15,-0.8
1993-07-01,-0.15,-0.62,0.47,0.32,27.51,0.22,-0.8
1993-08-01,-0.47,-0.33,-0.1399999999999999,0.25,26.86,-0.04,-0.9
1993-09-01,-0.51,-0.13,-0.38,0.15,27.0,0.24,-0.7
1993-10-01,-0.49,-0.18,-0.31,0.1,26.96,0.19,-1.1
1993-11-01,-0.26,-0.04,-0.22,0.04,26.9,0.08,-0.1
1993-12-01,-0.39,-0.21,-0.18,0.06,26.74,0.1,0.2
1994-01-01,-0.11,-0.3,0.19,0.06,26.58,0.02,-0.1
1994-02-01,-0.27,-0.22,-0.05,0.07,26.65,-0.08,0.3
1994-03-01,-0.56,-0.33,-0.23,0.17,27.38,0.15,-0.7
1994-04-01,-0.19,-0.47,0.2799999999999999,0.31,27.88,0.08,-1.3
1994-05-01,-0.02,-0.76,0.74,0.42,28.0,0.12,-0.7
1994-06-01,-0.35,-0.78,0.43,0.41,27.84,0.13,-0.4
1994-07-01,-0.22,-0.94,0.72,0.44,27.29,-0.01,-1.3
1994-08-01,-0.28,-1.41,1.13,0.43,27.3,0.4,-1.2
1994-09-01,-0.46,-1.43,0.97,0.55,27.04,0.28,-1.6
1994-10-01,0.13,-1.3,1.4300000000000002,0.74,27.37,0.6,-1.1
1994-11-01,-0.26,-0.45,0.19,1.01,27.73,0.91,-0.6
1994-12-01,-0.19,-0.22,0.03,1.09,27.79,1.15,-1.2
1995-01-01,-0.2,-0.19,-0.01,0.96,27.32,0.75,-0.4
1995-02-01,0.1,-0.43,0.53,0.72,27.37,0.64,-0.1
1995-03-01,-0.19,-0.49,0.3,0.53,27.53,0.3,0.8
1995-04-01,-0.14,-0.45,0.31,0.3,27.87,0.07,-0.7
1995-05-01,-0.31,-0.29,-0.02,0.14,27.67,-0.21,-0.4
1995-06-01,-0.22,-0.15,-0.07,-0.03,27.35,-0.36,0.1
1995-07-01,-0.25,0.32,-0.5700000000000001,-0.24,27.09,-0.21,0.4
1995-08-01,-0.51,0.08,-0.59,-0.54,26.33,-0.57,0.3
1995-09-01,-0.27,0.01,-0.28,-0.81,26.1,-0.66,0.3
1995-10-01,-0.16,0.27,-0.43,-0.97,25.82,-0.94,0.0
1995-11-01,-0.55,0.16,-0.7100000000000001,-1.0,25.81,-1.01,0.0
1995-12-01,-0.42,-0.43,0.01,-0.98,25.73,-0.91,-0.5
1996-01-01,-0.04,-0.4,0.36,-0.9,25.74,-0.83,1.0
