Date,WTIO,SETIO,DMI
1991-01-01,0.18,0.12,0.06
1991-02-01,0.05,-0.04,0.09
1991-03-01,-0.04,0.02,-0.06
1991-04-01,0.31,-0.45,0.76
1991-05-01,0.28,-0.62,0.9
1991-06-01,-0.09,-0.58,0.49
1991-07-01,-0.13,-0.45,0.32
1991-08-01,-0.3,-0.22,-0.07999999999999999
1991-09-01,-0.08,-0.34,0.26
1991-10-01,-0.06,-0.23,0.17
1991-11-01,-0.19,-0.47,0.27999999999999997
1991-12-01,-0.31,-0.6,0.29
1992-01-01,-0.33,0.1,-0.43000000000000005
1992-02-01,-0.39,0.3,-0.69
1992-03-01,-0.38,0.23,-0.61
1992-04-01,-0.38,-0.1,-0.28
1992-05-01,-0.15,0.23,-0.38
1992-06-01,-0.3,0.55,-0.8500000000000001
1992-07-01,-0.1,0.45,-0.55
1992-08-01,-0.69,0.33,-1.02
1992-09-01,-0.5,0.22,-0.72
1992-10-01,-0.33,0.28,-0.6100000000000001
1992-11-01,-0.18,-0.03,-0.15
1992-12-01,-0.5,-0.21,-0.29000000000000004
1993-01-01,-0.38,-0.37,-0.010000000000000009
1993-02-01,-0.37,-0.31,-0.06
1993-03-01,-0.44,-0.05,-0.39
1993-04-01,-0.42,-0.24,-0.18
1993-05-01,-0.02,-0.25,0.23
1993-06-01,-0.08,-0.28,0.2
1993-07-01,-0.15,-0.62,0.47
1993-08-01,-0.47,-0.33,-0.13999999999999996
1993-09-01,-0.51,-0.13,-0.38
1993-10-01,-0.49,-0.18,-0.31
1993-11-01,-0.26,-0.04,-0.22
1993-12-01,-0.39,-0.21,-0.18000000000000002
1994-01-01,-0.11,-0.3,0.19
1994-02-01,-0.27,-0.22,-0.05000000000000002
1994-03-01,-0.56,-0.33,-0.23000000000000004
1994-04-01,-0.19,-0.47,0.27999999999999997
1994-05-01,-0.02,-0.76,0.74
1994-06-01,-0.35,-0.78,0.43000000000000005
1994-07-01,-0.22,-0.94,0.72
1994-08-01,-0.28,-1.41,1.13
1994-09-01,-0.46,-1.43,0.97
1994-10-01,0.13,-1.3,1.4300000000000002
1994-11-01,-0.26,-0.45,0.19
1994-12-01,-0.19,-0.22,0.03
1995-01-01,-0.2,-0.19,-0.010000000000000009
1995-02-01,0.1,-0.43,0.53
1995-03-01,-0.19,-0.49,0.3
1995-04-01,-0.14,-0.45,0.31
1995-05-01,-0.31,-0.29,-0.020000000000000018
1995-06-01,-0.22,-0.15,-0.07
1995-07-01,-0.25,0.32,-0.5700000000000001
1995-08-01,-0.51,0.08,-0.59
1995-09-01,-0.27,0.01,-0.28
1995-10-01,-0.16,0.27,-0.43000000000000005
1995-11-01,-0.55,0.16,-0.7100000000000001
1995-12-01,-0.42,-0.43,0.010000000000000009
1996-01-01,-0.04,-0.4,0.36000000000000004
1996-02-01,-0.01,-0.21,0.19999999999999998
1996-03-01,-0.23,0.02,-0.25
1996-04-01,-0.64,0.24,-0.88
1996-05-01,-0.49,-0.02,-0.47
1996-06-01,-0.61,0.14,-0.75
1996-07-01,-0.59,-0.03,-0.5599999999999999
1996-08-01,-0.71,0.25,-0.96
1996-09-01,-0.58,0.24,-0.82
1996-10-01,-0.87,0.22,-1.09
1996-11-01,-0.57,0.17,-0.74
1996-12-01,-0.37,-0.07,-0.3
1997-01-01,-0.38,-0.37,-0.010000000000000009
1997-02-01,-0.58,-0.9,0.32000000000000006
1997-03-01,-0.24,-0.33,0.09000000000000002
1997-04-01,-0.18,-0.26,0.08000000000000002
1997-05-01,-0.35,-0.31,-0.03999999999999998
1997-06-01,0.09,-0.05,0.14
1997-07-01,-0.05,-0.59,0.5399999999999999
1997-08-01,-0.0,-0.35,0.35
1997-09-01,0.06,-0.68,0.74
