WTIO,SETIO,DMI,ONI,ENSO,SOI,D20_SCTR
0.18,0.12,0.06,0.41,Neutral,0.6,54.96063979321467
0.05,-0.04,0.09,0.26,Neutral,0.3,59.8994416594786
-0.04,0.02,-0.06,0.22,Neutral,-0.7,70.2251244996627
0.31,-0.45,0.76,0.26,Neutral,-0.6,67.37512486184794
0.28,-0.62,0.9,0.45,Neutral,-1.0,63.78306609654167
-0.09,-0.58,0.49,0.64,Neutral,-0.1,56.39499073483345
-0.13,-0.45,0.32,0.73,Neutral,0.0,57.02370458710033
-0.3,-0.22,-0.0799999999999999,0.64,Neutral,-0.4,74.8936127089778
-0.08,-0.34,0.26,0.62,Neutral,-1.5,81.43991411072035
-0.06,-0.23,0.17,0.79,El Nino,-1.0,83.63742193194042
-0.19,-0.47,0.2799999999999999,1.21,El Nino,-0.7,75.07478829126502
-0.31,-0.6,0.29,1.53,El Nino,-1.8,71.77726564646325
-0.33,0.1,-0.43,1.71,El Nino,-2.9,76.37175487508023
-0.39,0.3,-0.69,1.63,El Nino,-0.9,90.1154169840967
-0.38,0.23,-0.61,1.48,El Nino,-2.0,111.58230950139595
-0.38,-0.1,-0.28,1.29,El Nino,-1.0,111.25408244074644
-0.15,0.23,-0.38,1.06,El Nino,0.3,90.82849240008078
-0.3,0.55,-0.8500000000000001,0.73,El Nino,-0.6,72.1526541785477
-0.1,0.45,-0.55,0.37,Neutral,-0.6,81.66642492923572
-0.69,0.33,-1.02,0.09,Neutral,0.4,89.60520629210605
-0.5,0.22,-0.72,-0.13,Neutral,0.1,90.9979206584557
-0.33,0.28,-0.6100000000000001,-0.25,Neutral,-1.4,89.83621558862733
-0.18,-0.03,-0.15,-0.28,Neutral,-0.7,76.58762700145583
-0.5,-0.21,-0.29,-0.13,Neutral,-0.6,68.07988989760861
-0.38,-0.37,-0.01,0.09,Neutral,-0.9,62.826630469038776
-0.37,-0.31,-0.06,0.3,Neutral,-0.7,69.8925220687966
-0.44,-0.05,-0.39,0.5,Neutral,-0.5,80.64540710182318
-0.42,-0.24,-0.18,0.67,Neutral,-1.2,75.12956180701475
-0.02,-0.25,0.23,0.7,Neutral,-0.3,62.32411933911125
-0.08,-0.28,0.2,0.57,Neutral,-0.8,64.67879362868116
-0.15,-0.62,0.47,0.32,Neutral,-0.8,79.32466288823949
-0.47,-0.33,-0.1399999999999999,0.25,Neutral,-0.9,75.69438470267895
-0.51,-0.13,-0.38,0.15,Neutral,-0.7,89.95984198928676
-0.49,-0.18,-0.31,0.1,Neutral,-1.1,89.88114437279273
-0.26,-0.04,-0.22,0.04,Neutral,-0.1,75.70605971712047
-0.39,-0.21,-0.18,0.06,Neutral,0.2,58.60977895783449
-0.11,-0.3,0.19,0.06,Neutral,-0.1,55.03965560547668
-0.27,-0.22,-0.05,0.07,Neutral,0.3,67.15209337799034
-0.56,-0.33,-0.23,0.17,Neutral,-0.7,64.69610094418606
-0.19,-0.47,0.2799999999999999,0.31,Neutral,-1.3,57.451728490782415
