,standardized,log_transform,actual_scale,standardized_rank,log_transform_rank,actual_scale_rank,avg_rank
case1_uni_mae,0.9120745848291772,,12.654600700412113,1.0,,1.0,1.0
case5_uni_mae,0.9224329120144658,,12.798317676484128,2.0,,2.0,2.0
case6_bi_mae,,0.1628141960659989,13.062044135826989,,1.0,4.0,2.5
case5_bi_rmse,0.9368546801793003,,12.998413037093991,3.0,,3.0,3.0
case1_uni_rmse,0.9495719731033798,,13.174859162475922,4.0,,5.0,4.5
case1_bi_rmse,0.9551997847758896,,13.252942322987675,5.0,,6.0,5.5
case5_uni_mse,0.9563240876997916,,13.268541697204265,6.0,,7.0,6.5
case3_bi_rmse,0.9580464540840288,,13.292438647624365,7.0,,8.0,7.5
case5_uni_rmse,0.958282574379595,,13.295714525340351,8.0,,9.0,8.5
case5_bi_mae,0.9653900030190812,,13.394326668642108,9.0,,10.0,9.5
case5_bi_mse,0.9668583036900514,,13.414698905335271,10.0,,11.0,10.5
case4_bi_mae,,0.179321073494211,14.176971584711884,,2.0,20.0,11.0
case1_bi_mae,0.9688768709675141,,13.442705254927517,11.0,,12.0,11.5
case4_bi_rmse,,0.1911124017059328,14.967073568691621,,3.0,21.0,12.0
case1_bi_mse,0.9696609390476837,,13.453584004203282,12.0,,13.0,12.5
case2_uni_mae,,0.19314192438695862,15.171590959903686,,4.0,22.0,13.0
case3_uni_mae,0.9728931223831099,,13.498428851978975,13.0,,14.0,13.5
case6_uni_rmse,,0.1996522699883416,15.305380658252625,,5.0,23.0,14.0
case3_uni_rmse,0.9732702014499792,,13.503660805743717,14.0,,15.0,14.5
case2_bi_rmse,,0.2038396026700095,15.696091213666522,,6.0,24.0,15.0
case3_bi_mse,0.97865689505624,,13.578398661225041,15.0,,16.0,15.5
case6_uni_mae,,0.2047211041762012,15.776269804668884,,7.0,25.0,16.0
case1_uni_mse,0.9860176704214558,,13.680525911639531,16.0,,17.0,16.5
case2_uni_mse,,0.20789348823346884,15.848622788073929,,8.0,26.0,17.0
case3_uni_mse,1.000809062040438,,13.885749603798514,17.0,,18.0,17.5
case2_bi_mae,,0.21063688488646043,16.088048492183997,,9.0,27.0,18.0
case3_bi_mae,1.0097449156815037,,14.00973003615475,18.0,,19.0,18.5
case4_uni_mse,,0.21876953612859626,16.529759209822902,,10.0,28.0,19.0
case4_bi_mse,,0.21893525901019664,16.66322384899226,,11.0,29.0,20.0
case2_bi_mse,,0.22276926365572614,16.80120856324588,,12.0,30.0,21.0
case6_bi_mse,,0.2291532913979112,17.040058961356515,,13.0,31.0,22.0
case6_uni_mse,,0.2455530825012201,18.197112216959383,,14.0,32.0,23.0
case6_bi_rmse,,0.25718080023309464,18.919806284053905,,15.0,33.0,24.0
case4_uni_rmse,,0.26129194479525,19.093213465764883,,16.0,34.0,25.0
case2_uni_rmse,,0.28052055497497225,20.144539340765608,,17.0,35.0,26.0
case4_uni_mae,,0.28954493626521344,20.80512758105938,,18.0,36.0,27.0
