,standardized,log_transform,actual_scale,standardized_rank,log_transform_rank,actual_scale_rank,avg_rank
case5_uni_mae,1.311294918901945,,252.42743135402054,1.0,,1.0,1.0
case5_bi_rmse,1.3336195223748257,,256.7249722771576,2.0,,2.0,2.0
case1_uni_mae,1.3832350360688972,,266.2760702629296,3.0,,3.0,3.0
case5_bi_mse,1.400988374926123,,269.69364188086126,4.0,,4.0,4.0
case5_uni_mse,1.404830210867818,,270.433208141547,5.0,,5.0,5.0
case1_bi_mse,1.4209926888992912,,273.5445130407878,6.0,,6.0,6.0
case5_uni_rmse,1.4336732371016006,,275.98555030862605,7.0,,7.0,7.0
case1_uni_rmse,1.4391244123597209,,277.03491531704856,8.0,,8.0,8.0
case3_bi_rmse,1.441675941442466,,277.52609929810023,9.0,,9.0,9.0
case3_uni_mae,1.4470061567229924,,278.5521634533502,10.0,,10.0,10.0
case6_bi_mae,,0.04300204194062512,318.5617625345187,,1.0,19.0,10.0
case4_bi_mae,,0.05492507887642985,391.1411807135356,,2.0,20.0,11.0
case3_uni_rmse,1.4585016904271892,,280.76509105999634,11.0,,11.0,11.0
case1_uni_mse,1.4710789190299687,,283.1862393500512,12.0,,12.0,12.0
case4_bi_rmse,,0.06132561009782293,426.10742346333984,,3.0,21.0,12.0
case1_bi_rmse,1.4732806957246671,,283.6100818640498,13.0,,13.0,13.0
case6_uni_rmse,,0.06860903690998006,452.8843535497639,,4.0,22.0,13.0
case3_bi_mse,1.4837337954863248,,285.6223253969805,14.0,,14.0,14.0
case2_uni_mae,,0.0705416007906563,482.7066591947494,,5.0,24.0,14.5
case2_bi_rmse,,0.07134593938541847,479.74683350919156,,6.0,23.0,14.5
case3_uni_mse,1.497896531778851,,288.34869822923343,15.0,,15.0,15.0
case3_bi_mae,1.5079129205090265,,290.2768691995568,16.0,,16.0,16.0
case2_uni_mse,,0.07518573445990287,486.0551664516265,,8.0,25.0,16.5
case5_bi_mae,1.5161911697651225,,291.8704428531392,17.0,,17.0,17.0
case2_bi_mae,,0.0751876271072948,493.29791402144656,,9.0,26.0,17.5
case6_uni_mae,,0.07508709119912653,507.3729923690871,,7.0,28.0,17.5
case1_bi_mae,1.5320992711222388,,294.93279063884495,18.0,,18.0,18.0
case4_uni_mse,,0.0783437411422865,503.38015168717095,,10.0,27.0,18.5
case4_bi_mse,,0.08311687724492474,546.2866538218248,,11.0,30.0,20.5
case6_bi_mse,,0.08747190489141726,536.512451794157,,12.0,29.0,20.5
case2_bi_mse,,0.08872203154481385,563.0335684181878,,13.0,31.0,22.0
case6_uni_mse,,0.0981994874340248,608.5470953263001,,14.0,32.0,23.0
case6_bi_rmse,,0.10431790517361285,633.5003669104221,,15.0,33.0,24.0
case2_uni_rmse,,0.11770373566010639,668.940569422832,,17.0,34.0,25.5
case4_uni_rmse,,0.11409070157165443,675.0209322144545,,16.0,35.0,25.5
case4_uni_mae,,0.12182671433486258,700.4218764218501,,18.0,36.0,27.0
