,standardized,log_transform,actual_scale,standardized_rank,log_transform_rank,actual_scale_rank,avg_rank
case5_uni_mae,1.1038228858706147,,15.315017060003985,1.0,,1.0,1.0
case5_bi_rmse,1.1126756460252956,,15.437844854058856,2.0,,2.0,2.0
case1_uni_mae,1.1221965073539688,,15.569942113634838,3.0,,3.0,3.0
case5_uni_mse,1.1353630726523631,,15.752622316995538,4.0,,4.0,4.0
case5_uni_rmse,1.1416059244722796,,15.839238717137665,5.0,,5.0,5.0
case1_bi_mse,1.1453035490096222,,15.890541384835696,6.0,,6.0,6.0
case6_bi_mae,,0.19615366460422576,16.18018717433357,,1.0,11.0,6.0
case1_uni_rmse,1.1455490410961082,,15.893947595772847,7.0,,7.0,7.0
case5_bi_mse,1.1485343275748459,,15.935367091109708,8.0,,8.0,8.0
case1_bi_rmse,1.1611387596122316,,16.110247459927177,9.0,,9.0,9.0
case3_bi_rmse,1.1633949053664387,,16.1415507324269,10.0,,10.0,10.0
case4_bi_mae,,0.21715292520446355,17.685169117321365,,2.0,20.0,11.0
case3_uni_rmse,1.1665093445550145,,16.184761894347524,11.0,,12.0,11.5
case4_bi_rmse,,0.2332991347551032,18.788589764209,,3.0,21.0,12.0
case1_uni_mse,1.169975277934261,,16.232850125764507,12.0,,13.0,12.5
case2_uni_mae,,0.24518723297174472,19.681629844803332,,4.0,23.0,13.5
case6_uni_rmse,,0.24860852744469647,19.576477753434503,,5.0,22.0,13.5
case3_uni_mae,1.1732883231374927,,16.27881658329162,13.0,,14.0,13.5
case1_bi_mae,1.1747954953907014,,16.299727953104572,14.0,,15.0,14.5
case2_bi_rmse,,0.2526812360879751,20.071256466092706,,6.0,25.0,15.5
case2_uni_mse,,0.2549531397235679,19.87683252653328,,7.0,24.0,15.5
case5_bi_mae,1.1768684303758827,,16.328488898378524,15.0,,16.0,15.5
case3_bi_mse,1.1840404744031932,,16.427997681963568,16.0,,17.0,16.5
case6_uni_mae,,0.25533928807193884,20.348228036066146,,8.0,26.0,17.0
case3_bi_mae,1.1930261335500207,,16.552669601607146,17.0,,18.0,17.5
case2_bi_mae,,0.2621690756916383,20.604676609436932,,9.0,27.0,18.0
case3_uni_mse,1.19684558964865,,16.60566288986008,18.0,,19.0,18.5
case4_uni_mse,,0.2660125128025883,20.680303542670885,,10.0,28.0,19.0
case4_bi_mse,,0.27152136260373183,21.350154275749883,,11.0,29.0,20.0
case2_bi_mse,,0.28195188889434186,21.769004241396956,,12.0,31.0,21.5
case6_bi_mse,,0.28343792102726906,21.469856433749086,,13.0,30.0,21.5
case6_uni_mse,,0.29559490236942565,22.60587910103859,,14.0,32.0,23.0
case4_uni_rmse,,0.30944255452072444,23.251411476781286,,15.0,33.0,24.0
case6_bi_rmse,,0.3110442559129547,23.616003425483846,,16.0,34.0,25.0
case2_uni_rmse,,0.3291170260346853,24.254856835535843,,17.0,35.0,26.0
case4_uni_mae,,0.34040002904576877,25.22573047649322,,18.0,36.0,27.0
