,mae,mse,rmse
case2_uni_mae,0.19314192438695862,0.0705416007906563,0.24518723297174472
case2_uni_mse,0.20789348823346884,0.07518573445990287,0.2549531397235679
case2_uni_rmse,0.28052055497497225,0.11770373566010639,0.3291170260346853
case2_bi_mae,0.21063688488646043,0.0751876271072948,0.2621690756916383
case2_bi_mse,0.22276926365572614,0.08872203154481385,0.28195188889434186
case2_bi_rmse,0.2038396026700095,0.07134593938541847,0.2526812360879751
case4_uni_mae,0.28954493626521344,0.12182671433486258,0.34040002904576877
case4_uni_mse,0.21876953612859626,0.0783437411422865,0.2660125128025883
case4_uni_rmse,0.26129194479525,0.11409070157165443,0.30944255452072444
case4_bi_mae,0.179321073494211,0.05492507887642985,0.21715292520446355
case4_bi_mse,0.21893525901019664,0.08311687724492474,0.27152136260373183
case4_bi_rmse,0.1911124017059328,0.06132561009782293,0.2332991347551032
case6_uni_mae,0.2047211041762012,0.07508709119912653,0.25533928807193884
case6_uni_mse,0.2455530825012201,0.0981994874340248,0.29559490236942565
case6_uni_rmse,0.1996522699883416,0.06860903690998006,0.24860852744469647
case6_bi_mae,0.1628141960659989,0.04300204194062512,0.19615366460422576
case6_bi_mse,0.2291532913979112,0.08747190489141726,0.28343792102726906
case6_bi_rmse,0.25718080023309464,0.10431790517361285,0.3110442559129547
