,mae,mse,rmse
case1_uni_mae,0.9120745848291772,1.3832350360688972,1.1221965073539688
case1_uni_mse,0.9860176704214558,1.4710789190299687,1.169975277934261
case1_uni_rmse,0.9495719731033798,1.4391244123597209,1.1455490410961082
case1_bi_mae,0.9688768709675141,1.5320992711222388,1.1747954953907014
case1_bi_mse,0.9696609390476837,1.4209926888992912,1.1453035490096222
case1_bi_rmse,0.9551997847758896,1.4732806957246671,1.1611387596122316
case3_uni_mae,0.9728931223831099,1.4470061567229924,1.1732883231374927
case3_uni_mse,1.000809062040438,1.497896531778851,1.19684558964865
case3_uni_rmse,0.9732702014499792,1.4585016904271892,1.1665093445550145
case3_bi_mae,1.0097449156815037,1.5079129205090265,1.1930261335500207
case3_bi_mse,0.97865689505624,1.4837337954863248,1.1840404744031932
case3_bi_rmse,0.9580464540840288,1.441675941442466,1.1633949053664387
case5_uni_mae,0.9224329120144658,1.311294918901945,1.1038228858706147
case5_uni_mse,0.9563240876997916,1.404830210867818,1.1353630726523631
case5_uni_rmse,0.958282574379595,1.4336732371016006,1.1416059244722796
case5_bi_mae,0.9653900030190812,1.5161911697651225,1.1768684303758827
case5_bi_mse,0.9668583036900514,1.400988374926123,1.1485343275748459
case5_bi_rmse,0.9368546801793003,1.3336195223748257,1.1126756460252956
