,mae,mse,rmse
case1_uni_mae,12.654600700412114,266.2760702629296,15.56994211363484
case1_uni_mse,13.680525911639531,283.1862393500512,16.23285012576451
case1_uni_rmse,13.174859162475922,277.03491531704856,15.893947595772847
case1_bi_mae,13.442705254927517,294.93279063884495,16.299727953104572
case1_bi_mse,13.453584004203282,273.5445130407879,15.890541384835696
case1_bi_rmse,13.252942322987675,283.6100818640499,16.110247459927177
case2_uni_mae,15.171590959903686,482.7066591947494,19.681629844803332
case2_uni_mse,15.848622788073929,486.0551664516265,19.87683252653328
case2_uni_rmse,20.144539340765608,668.940569422832,24.254856835535843
case2_bi_mae,16.088048492183997,493.29791402144656,20.604676609436932
case2_bi_mse,16.80120856324588,563.0335684181878,21.769004241396956
case2_bi_rmse,15.696091213666522,479.74683350919156,20.071256466092706
case3_uni_mae,13.498428851978975,278.5521634533502,16.27881658329162
case3_uni_mse,13.885749603798514,288.34869822923343,16.60566288986008
case3_uni_rmse,13.503660805743717,280.7650910599964,16.184761894347524
case3_bi_mae,14.00973003615475,290.2768691995568,16.552669601607146
case3_bi_mse,13.578398661225041,285.6223253969805,16.427997681963568
case3_bi_rmse,13.292438647624365,277.52609929810023,16.1415507324269
case4_uni_mae,20.80512758105938,700.4218764218501,25.22573047649322
case4_uni_mse,16.529759209822902,503.38015168717095,20.680303542670885
case4_uni_rmse,19.093213465764883,675.0209322144545,23.251411476781286
case4_bi_mae,14.176971584711884,391.1411807135356,17.685169117321365
case4_bi_mse,16.66322384899226,546.2866538218248,21.350154275749883
case4_bi_rmse,14.967073568691621,426.10742346333984,18.788589764209
case5_uni_mae,12.798317676484128,252.42743135402054,15.315017060003985
case5_uni_mse,13.268541697204265,270.4332081415471,15.752622316995538
case5_uni_rmse,13.295714525340351,275.9855503086261,15.839238717137665
case5_bi_mae,13.394326668642108,291.8704428531392,16.328488898378524
case5_bi_mse,13.414698905335271,269.6936418808613,15.935367091109708
case5_bi_rmse,12.998413037093991,256.7249722771576,15.437844854058856
case6_uni_mae,15.776269804668884,507.3729923690871,20.348228036066146
case6_uni_mse,18.197112216959383,608.5470953263001,22.60587910103859
case6_uni_rmse,15.305380658252625,452.8843535497639,19.576477753434503
case6_bi_mae,13.062044135826989,318.5617625345187,16.18018717433357
case6_bi_mse,17.040058961356515,536.512451794157,21.469856433749086
case6_bi_rmse,18.919806284053905,633.5003669104221,23.616003425483846
