,mae,mse,rmse
case2_uni_mae,0.1731573257692661,0.056868148669343685,0.21768778542402295
case2_uni_mse,0.1877125477615265,0.06430327969960033,0.2347352208742803
case2_uni_rmse,0.19541551412230998,0.06580774789622704,0.24492519978077415
case2_bi_mae,0.19923950753050362,0.06775735169733679,0.2448654034718611
case2_bi_mse,0.18582062531336763,0.059071638042447215,0.22862087965939304
case2_bi_rmse,0.1843662300288258,0.0557151065960274,0.2238064647739005
case4_uni_mae,0.23552534767985323,0.09717075459948853,0.29488554208075735
case4_uni_mse,0.18840567260902533,0.0633324670472045,0.2319787310908959
case4_uni_rmse,0.18178542473413722,0.061408679271813565,0.2257709627636018
case4_bi_mae,0.18247822381252984,0.04755446785090206,0.21372208644008792
case4_bi_mse,0.23154453262462144,0.0889706060207967,0.288480471792929
case4_bi_rmse,0.2822762404581286,0.1240631204020887,0.33454166497803906
case6_uni_mae,0.17557837513109664,0.05674534866027623,0.21894707886236509
case6_uni_mse,0.1780637985751979,0.05127616299187439,0.2140321308599057
case6_uni_rmse,0.19338297272238292,0.06516992059135406,0.23924222731087813
case6_bi_mae,0.21976053698275605,0.0800161339822226,0.27103104162099423
case6_bi_mse,0.18440573574153005,0.06234180111284554,0.23345164681983868
case6_bi_rmse,0.17716159234001708,0.05282423676430564,0.21964894868511425
