,standardized,log_transform,actual_scale,standardized_rank,log_transform_rank,actual_scale_rank,avg_rank
case5_bi_mae,0.9150368750504948,,12.695701049998018,1.0,,1.0,1.0
case1_uni_mae,0.9335555954655447,,12.952639723641543,2.0,,2.0,2.0
case1_bi_mae,0.934782179336678,,12.969658213649485,3.0,,3.0,3.0
case1_uni_rmse,0.9408053891038175,,13.053226867237875,4.0,,4.0,4.0
case3_bi_mae,0.9538370942607602,,13.234035956304306,5.0,,5.0,5.0
case5_uni_rmse,0.958933548153867,,13.30474625773174,6.0,,6.0,6.0
case5_uni_mse,0.9651917164554318,,13.391575756889754,7.0,,7.0,7.0
case2_uni_mae,,0.1731573257692661,13.73698249828848,,1.0,14.0,7.5
case5_bi_rmse,0.9728520753660943,,13.497859668190099,8.0,,8.0,8.0
case1_uni_mse,0.9729545896525275,,13.49928175752534,9.0,,9.0,9.0
case6_uni_mae,,0.17557837513109664,13.877544445648171,,2.0,16.0,9.0
case3_bi_rmse,0.9794720566512026,,13.589708546600122,10.0,,10.0,10.0
case6_bi_rmse,,0.17716159234001708,14.166063252901942,,3.0,19.0,11.0
case5_uni_mae,0.9814498605722782,,13.617149480938703,11.0,,11.0,11.0
case6_uni_mse,,0.1780637985751979,14.089694760048744,,4.0,18.0,11.0
case1_bi_mse,0.9871882203801601,,13.696766897489645,12.0,,12.0,12.0
case1_bi_rmse,0.9883061635832557,,13.712277920489786,13.0,,13.0,13.0
case4_uni_rmse,,0.18178542473413722,14.299489957302319,,5.0,21.0,13.0
case5_bi_mse,0.9972746606204799,,13.836711096897915,14.0,,15.0,14.5
case6_bi_mse,,0.18440573574153005,14.427913889503609,,8.0,23.0,15.5
case3_bi_mse,1.0046445484308157,,13.938965233021722,15.0,,17.0,16.0
case2_bi_rmse,,0.1843662300288258,14.573579908604735,,7.0,25.0,16.0
case2_bi_mse,,0.18582062531336763,14.491220308123651,,9.0,24.0,16.5
case4_bi_mae,,0.18247822381252984,14.787575657125656,,6.0,28.0,17.0
case2_uni_mse,,0.1877125477615265,14.680602024736803,,10.0,26.0,18.0
case3_uni_mae,1.0298454940463446,,14.288615935642373,16.0,,20.0,18.0
case4_uni_mse,,0.18840567260902533,14.693785566588897,,11.0,27.0,19.0
case3_uni_rmse,1.033840526058301,,14.344045189725218,17.0,,22.0,19.5
case6_uni_rmse,,0.19338297272238292,15.023571435041926,,12.0,30.0,21.0
case2_uni_rmse,,0.19541551412230998,15.123587409169444,,13.0,31.0,22.0
case2_bi_mae,,0.19923950753050362,15.948779485131537,,14.0,32.0,23.0
case3_uni_mse,1.0798900160966198,,14.982959945191718,18.0,,29.0,23.5
case6_bi_mae,,0.21976053698275605,16.64219357833583,,15.0,33.0,24.0
case4_bi_mse,,0.23154453262462144,17.257948143254755,,16.0,34.0,25.0
case4_uni_mae,,0.23552534767985323,17.564095015031935,,17.0,35.0,26.0
case4_bi_rmse,,0.2822762404581286,20.280012425963633,,18.0,36.0,27.0
