,standardized,log_transform,actual_scale,standardized_rank,log_transform_rank,actual_scale_rank,avg_rank
case5_bi_mae,1.2968539810028248,,249.64751091139723,1.0,,1.0,1.0
case1_uni_mae,1.3138028336506444,,252.91021406398073,2.0,,2.0,2.0
case1_bi_mae,1.3266758729332007,,255.38831560336524,3.0,,3.0,3.0
case5_bi_rmse,1.3894630370891339,,267.4749881711688,4.0,,4.0,4.0
case1_uni_rmse,1.3994348693743495,,269.394580597238,5.0,,5.0,5.0
case3_bi_mae,1.423550038465693,,274.03682029636093,6.0,,6.0,6.0
case5_uni_mse,1.435436508095182,,276.32498662859746,7.0,,7.0,7.0
case5_uni_mae,1.4383766096081037,,276.8909515433909,8.0,,8.0,8.0
case1_bi_rmse,1.4462795039326102,,278.4123025746445,9.0,,9.0,9.0
case4_bi_mae,,0.04755446785090206,325.73720032488535,,1.0,18.0,9.5
case3_bi_rmse,1.4595604334261345,,280.9688923738931,10.0,,10.0,10.0
case6_uni_mse,,0.05127616299187439,363.61497797939546,,2.0,20.0,11.0
case1_uni_mse,1.4978549637343135,,288.34068322609096,11.0,,11.0,11.0
case6_bi_rmse,,0.05282423676430564,378.6443409964494,,3.0,21.0,12.0
case3_bi_mse,1.5105204123327098,,290.7788303697485,12.0,,12.0,12.0
case2_bi_rmse,,0.0557151065960274,393.0396812892869,,4.0,22.0,13.0
case1_bi_mse,1.5127859758137534,,291.21494887435875,13.0,,13.0,13.0
case5_uni_rmse,1.521681255893572,,292.92728995483765,14.0,,14.0,14.0
case6_uni_mae,,0.05674534866027623,407.91502051667607,,5.0,23.0,14.0
case3_uni_mae,1.5247372709092468,,293.51560433972185,15.0,,15.0,15.0
case2_uni_mae,,0.056868148669343685,412.3975235625808,,6.0,25.0,15.5
case2_bi_mse,,0.059071638042447215,409.8460797952271,,7.0,24.0,15.5
case5_bi_mse,1.5536190561993413,,299.0754028297896,16.0,,16.0,16.0
case3_uni_rmse,1.6009804518343613,,308.1925975362781,17.0,,17.0,17.0
case6_bi_mse,,0.06234180111284554,430.39841101839613,,9.0,26.0,17.5
case4_uni_rmse,,0.061408679271813565,431.1672749817642,,8.0,27.0,17.5
case3_uni_mse,1.7431073749077528,,335.5523708484569,18.0,,19.0,18.5
case4_uni_mse,,0.0633324670472045,440.22722582076756,,10.0,28.0,19.0
case2_uni_mse,,0.06430327969960033,450.43189307771735,,11.0,30.0,20.5
case2_uni_rmse,,0.06580774789622704,447.0393693041756,,13.0,29.0,21.0
case6_uni_rmse,,0.06516992059135406,451.442444603321,,12.0,31.0,21.5
case2_bi_mae,,0.06775735169733679,473.6242727645581,,14.0,32.0,23.0
case6_bi_mae,,0.0800161339822226,519.2067272943676,,15.0,33.0,24.0
case4_bi_mse,,0.0889706060207967,553.8257940347135,,16.0,34.0,25.0
case4_uni_mae,,0.09717075459948853,598.7703992730186,,17.0,35.0,26.0
case4_bi_rmse,,0.1240631204020887,714.8312116818599,,18.0,36.0,27.0
