,standardized,log_transform,actual_scale,standardized_rank,log_transform_rank,actual_scale_rank,avg_rank
case5_bi_mae,1.1035585699246,,15.31134955732778,1.0,,1.0,1.0
case1_uni_mae,1.1153618987672744,,15.47511540628171,2.0,,2.0,2.0
case1_bi_mae,1.1192489446683374,,15.529046675552053,3.0,,3.0,3.0
case1_uni_rmse,1.1358672580206608,,15.759617313208555,4.0,,4.0,4.0
case5_bi_rmse,1.148180127706147,,15.930452788899176,5.0,,5.0,5.0
case3_bi_mae,1.1523337372529816,,15.98808221237162,6.0,,6.0,6.0
case1_bi_rmse,1.1548312111746837,,16.022733649621713,7.0,,7.0,7.0
case5_uni_mse,1.1609446612366872,,16.107554500574675,8.0,,8.0,8.0
case1_uni_mse,1.1648450329912952,,16.161670149304634,9.0,,9.0,9.0
case4_bi_mae,,0.21372208644008792,17.353796118561856,,1.0,18.0,9.5
case5_uni_mae,1.1661068896101283,,16.179177564357538,10.0,,10.0,10.0
case6_uni_mse,,0.2140321308599057,17.372645000204262,,2.0,19.0,10.5
case5_uni_rmse,1.1669160752314607,,16.19040456325927,11.0,,11.0,11.0
case2_uni_mae,,0.21768778542402295,17.875458535451962,,3.0,20.0,11.5
case3_bi_rmse,1.1703081892631317,,16.237468697991236,12.0,,12.0,12.0
case6_uni_mae,,0.21894707886236509,17.923088484112316,,4.0,22.0,13.0
case1_bi_mse,1.1916738896652084,,16.533907998568242,13.0,,13.0,13.0
case6_bi_rmse,,0.21964894868511425,18.016309485539004,,5.0,23.0,14.0
case3_bi_mse,1.197325073483309,,16.61231565560137,14.0,,14.0,14.0
case5_bi_mse,1.1976791409661733,,16.617227714358513,15.0,,15.0,15.0
case2_bi_rmse,,0.2238064647739005,18.120012707396686,,6.0,24.0,15.0
case3_uni_mae,1.216527749062467,,16.878743412959093,16.0,,16.0,16.0
case4_uni_rmse,,0.2257709627636018,18.253231980065316,,7.0,25.0,16.0
case3_uni_rmse,1.2353172684460325,,17.139438969844655,17.0,,17.0,17.0
case2_bi_mse,,0.22862087965939304,18.445785944793446,,8.0,26.0,17.0
case4_uni_mse,,0.2319787310908959,18.714363090549686,,9.0,27.0,18.0
case6_bi_mse,,0.23345164681983868,18.771222521369967,,10.0,28.0,19.0
case3_uni_mse,1.2914581392201052,,17.918366830590127,18.0,,21.0,19.5
case2_uni_mse,,0.2347352208742803,19.01619690604901,,11.0,29.0,20.0
case6_uni_rmse,,0.23924222731087813,19.270758442446905,,12.0,30.0,21.0
case2_bi_mae,,0.2448654034718611,20.033271851746306,,13.0,32.0,22.5
case2_uni_rmse,,0.24492519978077415,19.535231677225365,,14.0,31.0,22.5
case6_bi_mae,,0.27103104162099423,21.179571176975507,,15.0,33.0,24.0
case4_bi_mse,,0.288480471792929,22.084746786774886,,16.0,34.0,25.0
case4_uni_mae,,0.29488554208075735,22.536670581614324,,17.0,35.0,26.0
case4_bi_rmse,,0.33454166497803906,24.778700861903715,,18.0,36.0,27.0
