,mae,mse,rmse
case1_uni_mae,12.952639723641543,252.91021406398073,15.47511540628171
case1_uni_mse,13.49928175752534,288.34068322609096,16.161670149304634
case1_uni_rmse,13.053226867237875,269.394580597238,15.759617313208555
case1_bi_mae,12.969658213649485,255.38831560336524,15.529046675552053
case1_bi_mse,13.696766897489645,291.21494887435875,16.533907998568242
case1_bi_rmse,13.712277920489786,278.4123025746445,16.022733649621713
case2_uni_mae,13.73698249828848,412.3975235625808,17.875458535451962
case2_uni_mse,14.680602024736803,450.43189307771735,19.01619690604901
case2_uni_rmse,15.123587409169444,447.0393693041756,19.535231677225365
case2_bi_mae,15.948779485131537,473.6242727645581,20.033271851746306
case2_bi_mse,14.491220308123651,409.8460797952271,18.445785944793446
case2_bi_rmse,14.573579908604735,393.0396812892869,18.120012707396686
case3_uni_mae,14.288615935642373,293.51560433972185,16.878743412959093
case3_uni_mse,14.982959945191718,335.5523708484569,17.918366830590127
case3_uni_rmse,14.344045189725218,308.1925975362781,17.139438969844655
case3_bi_mae,13.234035956304306,274.03682029636093,15.98808221237162
case3_bi_mse,13.938965233021722,290.7788303697485,16.61231565560137
case3_bi_rmse,13.589708546600122,280.9688923738931,16.237468697991236
case4_uni_mae,17.564095015031935,598.7703992730186,22.536670581614324
case4_uni_mse,14.693785566588897,440.22722582076756,18.714363090549686
case4_uni_rmse,14.299489957302319,431.1672749817642,18.253231980065316
case4_bi_mae,14.787575657125656,325.73720032488535,17.353796118561856
case4_bi_mse,17.257948143254755,553.8257940347135,22.084746786774886
case4_bi_rmse,20.280012425963633,714.8312116818599,24.778700861903715
case5_uni_mae,13.617149480938703,276.8909515433909,16.179177564357538
case5_uni_mse,13.391575756889754,276.32498662859746,16.107554500574675
case5_uni_rmse,13.30474625773174,292.92728995483765,16.19040456325927
case5_bi_mae,12.695701049998018,249.64751091139723,15.31134955732778
case5_bi_mse,13.836711096897915,299.0754028297896,16.617227714358513
case5_bi_rmse,13.497859668190099,267.4749881711688,15.930452788899176
case6_uni_mae,13.877544445648171,407.91502051667607,17.923088484112316
case6_uni_mse,14.089694760048744,363.61497797939546,17.372645000204262
case6_uni_rmse,15.023571435041926,451.442444603321,19.270758442446905
case6_bi_mae,16.64219357833583,519.2067272943676,21.179571176975507
case6_bi_mse,14.427913889503609,430.39841101839613,18.771222521369967
case6_bi_rmse,14.166063252901942,378.6443409964494,18.016309485539004
