,mae,mse,rmse
case1_uni_mae,0.9335555954655447,1.3138028336506444,1.1153618987672744
case1_uni_mse,0.9729545896525275,1.4978549637343135,1.1648450329912952
case1_uni_rmse,0.9408053891038175,1.3994348693743495,1.1358672580206608
case1_bi_mae,0.934782179336678,1.3266758729332007,1.1192489446683374
case1_bi_mse,0.9871882203801601,1.5127859758137534,1.1916738896652084
case1_bi_rmse,0.9883061635832557,1.4462795039326102,1.1548312111746837
case3_uni_mae,1.0298454940463446,1.5247372709092468,1.216527749062467
case3_uni_mse,1.0798900160966198,1.7431073749077528,1.2914581392201052
case3_uni_rmse,1.033840526058301,1.6009804518343613,1.2353172684460325
case3_bi_mae,0.9538370942607602,1.423550038465693,1.1523337372529816
case3_bi_mse,1.0046445484308157,1.5105204123327098,1.197325073483309
case3_bi_rmse,0.9794720566512026,1.4595604334261345,1.1703081892631317
case5_uni_mae,0.9814498605722782,1.4383766096081037,1.1661068896101283
case5_uni_mse,0.9651917164554318,1.435436508095182,1.1609446612366872
case5_uni_rmse,0.958933548153867,1.521681255893572,1.1669160752314607
case5_bi_mae,0.9150368750504948,1.2968539810028248,1.1035585699246
case5_bi_mse,0.9972746606204799,1.5536190561993413,1.1976791409661733
case5_bi_rmse,0.9728520753660943,1.3894630370891339,1.148180127706147
